id;judulgame;genre;platform;tanggal;publisher;bahasa;sinopsis
1;God of War: Ragnarok;Action, Adventure;PlayStation 5;09-Nov-22;Sony Interactive;Inggris;Mengisahkan petualangan Kratos dan Atreus dalam mitologi Nordik saat mereka menghadapi ramalan Ragnarok yang mendekat.
2;The Last of Us Part II;Action, Horror;PlayStation 4;19-Jun-20;Naughty Dog;Inggris;Melanjutkan kisah Ellie dalam dunia pasca-apokaliptik yang dipenuhi infeksi mematikan, balas dendam, dan dilema moral.
3;Final Fantasy VII Remake;RPG, Action;PlayStation 4, 5;10-Apr-20;Square Enix;Inggris, Jepang;Remake dari game klasik Final Fantasy VII, mengikuti perjalanan Cloud Strife dan kawan-kawan dalam melawan perusahaan Shinra yang jahat.
4;Gran Turismo 7;Racing, Simulation;PlayStation 5, 4;04-Mar-22;Polyphony Digital;Multi;Simulator balapan realistis dengan berbagai mobil, trek, dan mode karier yang membawa pemain ke pengalaman berkendara terbaik.
5;Spider-Man: Miles Morales;Action, Open-world;PlayStation 5, 4;12-Nov-20;Insomniac Games;Inggris;Miles Morales melanjutkan peran Spider-Man di New York, menghadapi ancaman baru sambil mengembangkan kekuatannya sendiri.
6;Horizon Forbidden West;Role-Playing Action;PlayStation 4, PlayStation 5;18-Feb-22;Sony Interactive Entertainment;Inggris, Jepang, Spanyol;Aloy melanjutkan perjalanannya ke wilayah barat yang berbahaya untuk mengungkap ancaman misterius yang dapat menghancurkan umat manusia.
7;Ys X: Nordics;Role-Playing Action;PlayStation 4, PlayStation 5, Nintendo Switch, Windows;25-Oct-24;NIS America;Inggris, Jepang, Prancis;Mengikuti petualangan Adol Christin yang berlayar ke wilayah utara dan terlibat dalam konflik antara bangsa Normans dan makhluk misterius bernama Griegr.
8;Ghost of Tsushima;Action-Adventure;PlayStation 4, PlayStation 5;17-Jul-20;Sony Interactive Entertainment;Inggris, Jepang;Berlatar belakang invasi Mongol ke Jepang, pemain mengendalikan Jin Sakai, seorang samurai yang berjuang untuk membebaskan pulau Tsushima.
9;Final Fantasy VII Remake;Role-Playing;PlayStation 4, PlayStation 5;16-Jun-21;Square Enix;Inggris, Jepang, Prancis;Remake dari game klasik Final Fantasy VII, mengikuti kisah Cloud Strife dan kelompok pemberontak Avalanche dalam melawan korporasi Shinra.
10;Demon's Souls;Role-Playing Action;PlayStation 5;12-Nov-20;Sony Interactive Entertainment;Inggris, Jepang;Remake dari game klasik dengan nama yang sama, pemain menjelajahi kerajaan Boletaria yang terkutuk dan menghadapi berbagai makhluk mematikan.
11;Black Myth: Wukong;Action, RPG;PS5;2024;Game Science;Inggris, Mandarin Sederhana, Korea, Jepang, Mandarin Tradisional;"Sebuah game aksi RPG yang terinspirasi dari novel klasik ""Perjalanan ke Barat"", dengan pertarungan menantang dan grafis yang memukau."
12;ASTRO BOT;Platformer;PS5;06-Sep-24;Sony Interactive Entertainment;Inggris, Mandarin Sederhana, Korea, Thailand, Jepang, Mandarin Tradisional;Petualangan platformer dengan level indah dan tantangan yang seru, serta mekanisme permainan yang halus.
