pertanyaan;jawaban
apa sinopsis mecha break ?;Mecha break adalah Game shooter mecha yang menawarkan pertempuran tim online dengan berbagai mode permainan. Pemain dapat memilih dari berbagai kelas mecha dan berpartisipasi dalam pertempuran 3v3, 6v6, dan PvPvE.
apa sinopsis monster hunters wild ?;Game berburu monster terbaru dari seri Monster Hunter. Pemain akan menjelajahi dunia luas yang penuh dengan ekosistem dinamis, menghadapi monster raksasa dengan berbagai strategi, serta menggunakan senjata dan perlengkapan yang bisa dikembangkan.
Platform apa yang dapat memainkan Jurassic World Evolution 2 ?;platform yang dapat memainkan Jurassic World Evolution 2 adalah PS4 dan PS5
Apa genre Final Fantasy VII ?;Final Fantasy VII merupakan game RPG
Apa genre Metal Gear Solid ?;Metal gear solid merupakan game action, stealth
kapan game mechabreak dikeluarkan ?;Game Mecha Break dirilis pada musim semi 2025
kapan game monster hunters wild dirilis?;Monster Hunter Wilds dirilis pada tanggal 28 Februari 2025
Kapan Jurassic World Evolution 2 dirilis ?;Jurassic World Evolution 2 dirilis pada tanggal 17 Desember 2024
Kapan Final Fantasy VII  dikeluarkan ?;Final Fantasy VII dikeluarkan pada 31 Januari 1997
Kapan Metal Gear Solid  dikeluarkan ?;Metal Gear Solid dikeluarkan pada 3 September 1998 
Apa judul game yang menceritakan balas dendam Kratos terhadap Ares?;Judul game yang menceritakan balas dendam Kratos terhadap Ares adalah God of War.
Apa genre dari God of War?;Genre dari God of War adalah action dan adventure.
Platform apa yang dapat memainkan God of War?;Platform yang dapat memainkan God of War adalah PlayStation 2.
Kapan tanggal rilis God of War?;Tanggal rilis dari God of War adalah 22 Maret 2005.
Siapa publisher dari God of War?;Publisher dari God of War adalah Sony Computer Entertainment.
Dalam bahasa apa God of War tersedia?;God of War tersedia dalam bahasa Inggris.
Apa sinopsis dari God of War?;Sinopsis dari God of War adalah Kratos, seorang prajurit Sparta, memulai perjalanan balas dendam terhadap Ares, dewa perang, dalam petualangan penuh mitologi Yunani.
Apa judul game yang merupakan sekuel God of War?;Judul game yang merupakan sekuel God of War adalah God of War II.
Apa genre dari God of War II?;Genre dari God of War II adalah action dan adventure.
Platform apa yang dapat memainkan God of War II?;Platform yang dapat memainkan God of War II adalah PlayStation 2.
Kapan tanggal rilis God of War II?;Tanggal rilis dari God of War II adalah 13 Maret 2007.
Siapa publisher dari God of War II?;Publisher dari God of War II adalah Sony Computer Entertainment.
Dalam bahasa apa God of War II tersedia?;God of War II tersedia dalam bahasa Inggris.
Apa sinopsis dari God of War II?;Sinopsis dari God of War II adalah Kratos, yang kini menjadi dewa perang, dikhianati oleh para dewa Olimpus dan memulai perjalanan untuk mengubah takdirnya.
Apa judul game yang merupakan kelanjutan dari God of War II?;Judul game yang merupakan kelanjutan dari God of War II adalah God of War III.
Apa genre dari God of War III?;Genre dari God of War III adalah action dan adventure.
Platform apa yang dapat memainkan God of War III?;Platform yang dapat memainkan God of War III adalah PlayStation 3.
Kapan tanggal rilis God of War III?;Tanggal rilis dari God of War III adalah 16 Maret 2010.
Siapa publisher dari God of War III?;Publisher dari God of War III adalah Sony Computer Entertainment.
Dalam bahasa apa God of War III tersedia?;God of War III tersedia dalam bahasa Inggris.
Apa sinopsis dari God of War III?;Sinopsis dari God of War III adalah Kratos melanjutkan perjalanannya di Gunung Olympus untuk membalas dendam kepada Zeus dan para dewa yang telah mengkhianatinya.
Apa judul game God of War dengan setting mitologi Nordik?;Judul game God of War dengan setting mitologi Nordik adalah God of War (2018).
Apa genre dari God of War (2018)?;Genre dari God of War (2018) adalah action dan adventure.
Platform apa yang dapat memainkan God of War (2018)?;Platform yang dapat memainkan God of War (2018) adalah PlayStation 4 dan Microsoft Windows.
Kapan tanggal rilis God of War (2018)?;Tanggal rilis dari God of War (2018) adalah 20 April 2018.
Siapa publisher dari God of War (2018)?;Publisher dari God of War (2018) adalah Sony Interactive Entertainment.
Dalam bahasa apa God of War (2018) tersedia?;God of War (2018) tersedia dalam bahasa Inggris.
Apa sinopsis dari God of War (2018)?;Sinopsis dari God of War (2018) adalah Kratos dan putranya, Atreus, melakukan perjalanan melalui dunia mitologi Nordik untuk menyebarkan abu istri Kratos, sambil menghadapi para dewa dan monster Nordik.
Apa judul game yang merupakan kelanjutan dari God of War (2018)?;Judul game yang merupakan kelanjutan dari God of War (2018) adalah God of War: Ragnarok.
Apa genre dari God of War: Ragnarok?;Genre dari God of War: Ragnarok adalah action dan adventure.
